customer_id,predicted_purchases_6m,clv_6months,Segment,country
12346,2.865237617372666,136.17719732777718,At Risk,United Kingdom
12347,inf,,Potential,Iceland
12348,,,Lost,Finland
12349,1.7487564464210967,1488.3628459026836,Loyal Customers,Italy
12351,,,Potential,Unspecified
12352,inf,,Potential,Norway
12353,,,Potential,Bahrain
12355,0.5747204188431958,-11.46696175493375,Lost,Bahrain
12356,3.9536611071750114,5562.876460890433,Loyal Customers,Portugal
12357,,,Potential,Switzerland
12358,1.1816331907715154,809.4415537215139,Loyal Customers,Austria
12359,2.398457206323439,867.6646815553283,At Risk,Cyprus
12360,2.4246496253542693,904.5153110330245,Loyal Customers,Austria
12361,1.330528125249526,152.1417438576219,At Risk,Belgium
12362,0.35380577034110305,-7.059218890016885,Lost,Belgium
12366,0.46311272342401427,-9.24013783678578,Lost,Cyprus
12368,0.4700276405582752,-9.37810594739634,Lost,Cyprus
12369,1.4873465910571468,1139.9498976846846,Loyal Customers,Austria
12370,inf,,At Risk,Austria
12371,inf,,Loyal Customers,Switzerland
12373,inf,,Lost,Austria
12374,inf,,At Risk,Austria
12376,inf,,Potential,Switzerland
12377,inf,,Potential,Switzerland
12378,0.5854083189520161,-11.680209340664359,Lost,Switzerland
12379,inf,,Lost,Belgium
12380,1.8906532966207397,2547.4332551387183,At Risk,Belgium
12385,,,Potential,Belgium
12386,,,Potential,Australia
12387,,,Potential,Australia
12388,inf,,Lost,Australia
12389,1.4298034377203428,963.7608091243549,Loyal Customers,Australia
12391,1.8906532966207397,1037.5125284109245,At Risk,Cyprus
12392,0.5284132300748796,-10.543029447719771,Lost,Australia
12393,inf,,Potential,Australia
12395,2.2579309214374113,716.0698922923171,Loyal Customers,Belgium
12396,0.4132587792533695,-8.245439802064727,Lost,RSA
12399,1.474629335207418,508.9099538839813,Loyal Customers,Belgium
12400,,,Potential,Australia
12402,2.3281435929496737,496.0289131968748,Loyal Customers,Belgium
12403,0.6907414887590344,-13.781842395801323,Lost,Denmark
12404,0.40475693319343564,-8.075808899073973,Lost,Finland
12406,1.281110813380398,1423.8074015015459,Loyal Customers,Denmark
12408,2.5255453018811944,1688.4834577979375,Loyal Customers,Belgium
12409,2.565228473307238,4869.4363930635955,At Risk,Switzerland
12410,0.753576761673586,-15.03554706288498,Lost,Switzerland
12411,,,Potential,Australia
12412,2.1043899360564278,783.6707814888613,Loyal Customers,Denmark
12413,,,Potential,Spain
12414,0.9265935481431068,-18.487620120252434,At Risk,Austria
12415,5.291069129115573,15114.341773133448,Champions,Australia
12416,0.4337585749069337,-8.654456717135417,Lost,Australia
12417,4.449992312680694,1252.5058621317817,Loyal Customers,Belgium
12418,1.5359144543481258,823.855728967738,Loyal Customers,Switzerland
12419,inf,,Potential,Spain
12421,inf,,Potential,Spain
12422,4.57479782311107,1959.947310672058,Loyal Customers,Australia
12423,inf,,Potential,Denmark
12424,inf,,Lost,Australia
12425,,,Lost,Portugal
12426,0.42670300834273317,-8.513682334847198,Lost,Germany
12427,,,Potential,Germany
12429,2.0461346200931736,2528.051216366323,Loyal Customers,Denmark
12431,4.895141799449954,1566.2663069724297,Champions,Belgium
12433,4.798052520198097,8554.62012542564,Loyal Customers,Norway
12434,,,Potential,Australia
12435,1.571189039956383,2737.3042738683816,Loyal Customers,Denmark
12437,7.654119876864624,2968.974253991148,Loyal Customers,France
