customer_id,country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,United Kingdom,165,11,372.86,1,4,2,142,At Risk
12347,Iceland,3,2,1323.3200000000002,4,2,3,423,Potential
12348,Finland,74,1,222.16,2,1,1,211,Lost
12349,Italy,43,3,2671.1400000000003,3,3,4,334,Loyal Customers
12351,Unspecified,11,1,300.93,4,1,1,411,Potential
12352,Norway,11,2,343.8,4,2,2,422,Potential
12353,Bahrain,44,1,317.75999999999993,3,1,2,312,Potential
12355,Bahrain,203,1,488.21,1,1,2,112,Lost
12356,Portugal,16,3,3562.2499999999995,4,3,4,434,Loyal Customers
12357,Switzerland,24,2,12079.990000000002,3,2,4,324,Potential
12358,Austria,11,3,2719.01,4,3,4,434,Loyal Customers
12359,Cyprus,61,6,2563.3599999999997,2,4,4,244,At Risk
12360,Austria,15,5,1590.83,4,3,3,433,Loyal Customers
12361,Belgium,98,3,321.35,2,3,2,232,At Risk
12362,Belgium,374,1,130.0,1,1,1,111,Lost
12366,Cyprus,269,1,500.24,1,1,2,112,Lost
12368,Cyprus,264,1,917.6999999999999,1,1,3,113,Lost
12369,Austria,49,3,1791.15,3,3,4,334,Loyal Customers
12370,Austria,260,3,774.62,1,3,3,133,At Risk
12371,Switzerland,45,3,2179.42,3,3,4,334,Loyal Customers
12373,Austria,260,2,763.05,1,2,3,123,Lost
12374,Austria,57,3,2246.29,2,3,4,234,At Risk
12376,Switzerland,25,2,503.15,3,2,2,322,Potential
12377,Switzerland,17,2,1798.2,4,2,4,424,Potential
12378,Switzerland,198,1,1407.7,1,1,3,113,Lost
12379,Belgium,58,2,767.98,2,2,3,223,Lost
12380,Belgium,101,7,6951.490000000001,2,4,4,244,At Risk
12385,Belgium,15,1,1938.3999999999999,4,1,4,414,Potential
12386,Australia,2,1,258.9,4,1,1,411,Potential
12387,Australia,51,1,143.94,3,1,1,311,Potential
12388,Australia,81,2,1120.45,2,2,3,223,Lost
12389,Australia,38,3,1433.33,3,3,3,333,Loyal Customers
12391,Cyprus,100,5,2312.53,2,3,4,234,At Risk
12392,Australia,227,1,234.75000000000003,1,1,1,111,Lost
12393,Australia,18,2,816.8500000000001,4,2,3,423,Potential
12395,Belgium,7,4,2048.64,4,3,4,434,Loyal Customers
12396,RSA,310,1,931.4300000000001,1,1,3,113,Lost
12399,Belgium,21,3,853.6499999999999,3,3,3,333,Loyal Customers
12400,Australia,50,1,205.25,3,1,1,311,Potential
12402,Belgium,28,5,1031.3,3,3,3,333,Loyal Customers
12403,Denmark,157,1,591.6600000000001,1,1,2,112,Lost
12404,Finland,318,1,63.24,1,1,1,111,Lost
12406,Denmark,35,3,2975.06,3,3,4,334,Loyal Customers
12408,Belgium,21,3,1452.22,3,3,3,333,Loyal Customers
12409,Switzerland,56,4,12346.619999999999,2,3,4,234,At Risk
12410,Switzerland,138,1,320.38,1,1,2,112,Lost
12411,Australia,45,1,346.9,3,1,2,312,Potential
12412,Denmark,38,3,1370.05,3,3,3,333,Loyal Customers
12413,Spain,38,1,241.35,3,1,1,311,Potential
12414,Austria,99,3,390.0,2,3,2,232,At Risk
12415,Australia,11,7,19543.839999999997,4,4,4,444,Champions
12416,Australia,292,1,202.56,1,1,1,111,Lost
12417,Belgium,46,11,3167.81,3,4,4,344,Loyal Customers
12418,Switzerland,49,3,1352.6200000000001,3,3,3,333,Loyal Customers
12419,Spain,21,2,503.01,3,2,2,322,Potential
12421,Spain,51,2,291.56,3,2,1,321,Potential
12422,Australia,30,14,4428.24,3,4,4,344,Loyal Customers
12423,Denmark,23,2,763.0799999999999,3,2,3,323,Potential
12424,Australia,58,2,1579.0700000000004,2,2,3,223,Lost
12425,Portugal,84,1,964.2099999999999,2,1,3,213,Lost
12426,Germany,298,1,762.4800000000002,1,1,3,113,Lost
12427,Germany,7,1,303.5,4,1,1,411,Potential
12429,Denmark,1,5,3735.51,4,3,4,434,Loyal Customers
12431,Belgium,9,13,4370.52,4,4,4,444,Champions
12433,Norway,2,5,7205.39,4,3,4,434,Loyal Customers
12434,Australia,17,1,297.29,4,1,1,411,Potential
12435,Denmark,32,4,6096.04,3,3,4,334,Loyal Customers
12437,France,31,21,7731.99,3,4,4,344,Loyal Customers
12439,Cyprus,318,2,1158.1799999999998,1,2,3,123,Lost
12440,Austria,98,2,859.2,2,2,3,223,Lost
12441,France,2,1,173.55,4,1,1,411,Potential
12443,Norway,368,1,485.31,1,1,2,112,Lost
12445,Spain,56,1,301.58000000000004,2,1,1,211,Lost
12449,Denmark,46,2,768.6,3,2,3,323,Potential
12450,Spain,35,3,490.32000000000005,3,3,2,332,Loyal Customers
12451,Switzerland,99,3,3634.36,2,3,4,234,At Risk
12454,Spain,31,4,13151.44,3,3,4,334,Loyal Customers
12455,Cyprus,81,4,3413.0899999999997,2,3,4,234,At Risk
12457,Switzerland,71,1,632.68,2,1,2,212,Lost
12458,Switzerland,63,2,830.0899999999999,2,2,3,223,Lost
12459,Spain,241,1,454.3599999999999,1,1,2,112,Lost
12460,Belgium,92,1,326.65,2,1,2,212,Lost
12466,France,318,1,56.73,1,1,1,111,Lost
12467,USA,59,1,132.8,2,1,1,211,Lost
12468,Germany,162,3,2941.2,1,3,4,134,At Risk
12469,Thailand,158,2,3070.54,1,2,4,124,Lost
12470,Unspecified,325,1,211.95,1,1,1,111,Lost
12471,Germany,10,48,20139.739999999998,4,4,4,444,Champions
12472,Germany,5,13,11308.48,4,4,4,444,Champions
12474,Germany,14,13,5048.66,4,4,4,444,Champions
12475,Germany,45,1,426.26,3,1,2,312,Potential
12476,Germany,32,12,7298.99,3,4,4,344,Loyal Customers
12477,Germany,35,3,7056.63,3,3,4,334,Loyal Customers
12480,Germany,35,3,2183.22,3,3,4,334,Loyal Customers
12481,Germany,1,6,6765.07,4,4,4,444,Champions
12482,Sweden,212,27,23691.4,1,4,4,144,At Risk
12483,Sweden,14,11,2635.6000000000004,4,4,4,444,Champions
12484,Spain,119,6,1828.43,2,4,4,244,At Risk
12485,Sweden,165,1,708.1000000000001,1,1,3,113,Lost
12486,Sweden,67,1,1037.2800000000002,2,1,3,213,Lost
12487,Sweden,366,1,285.29999999999995,1,1,1,111,Lost
12490,France,14,11,4405.71,4,4,4,444,Champions
12492,Germany,39,1,452.00000000000006,3,1,2,312,Potential
12494,France,1,3,626.77,4,3,2,432,Loyal Customers
12495,Sweden,276,1,357.4,1,1,2,112,Lost
12496,Spain,256,2,54.09,1,2,1,121,Lost
12497,Germany,36,2,5205.4,3,2,4,324,Potential
12499,Germany,196,1,393.71999999999997,1,1,2,112,Lost
12500,Germany,71,8,1697.3899999999999,2,4,3,243,At Risk
12503,Spain,220,1,1126.0,1,1,3,113,Lost
12504,Germany,53,2,297.0,3,2,1,321,Potential
12505,Italy,44,1,955.1999999999999,3,1,3,313,Potential
12507,Spain,220,1,539.25,1,1,2,112,Lost
12510,Spain,95,7,4195.45,2,4,4,244,At Risk
12511,Greece,64,1,3084.0200000000004,2,1,4,214,Lost
12514,Italy,277,1,580.0799999999999,1,1,2,112,Lost
12516,Germany,66,2,1336.56,2,2,3,223,Lost
12519,Germany,112,1,385.7,2,1,2,212,Lost
12523,France,10,12,2582.38,4,4,4,444,Champions
12524,Germany,24,9,6640.39,3,4,4,344,Loyal Customers
12525,France,134,3,973.73,2,3,3,233,At Risk
12527,Germany,130,2,386.8,2,2,2,222,Lost
12529,France,164,1,316.47999999999996,1,1,2,112,Lost
12530,Germany,51,5,2096.98,3,3,4,334,Loyal Customers
12531,Germany,322,1,1807.9799999999996,1,1,4,114,Lost
12533,Germany,263,2,1367.89,1,2,3,123,Lost
12537,Sweden,44,1,732.94,3,1,3,313,Potential
12538,Spain,14,1,276.5,4,1,1,411,Potential
12539,Spain,86,3,5646.400000000001,2,3,4,234,At Risk
12540,Spain,14,16,8854.25,4,4,4,444,Champions
12542,Spain,120,2,481.88000000000005,2,2,2,222,Lost
12543,Spain,84,1,980.25,2,1,3,213,Lost
12547,Spain,136,1,175.77999999999997,2,1,1,211,Lost
12549,USA,211,6,1575.6799999999998,1,4,3,143,At Risk
12553,France,21,2,916.47,3,2,3,323,Potential
12554,Spain,84,1,468.5,2,1,2,212,Lost
12555,Spain,318,1,129.23,1,1,1,111,Lost
12557,Spain,7,4,6725.179999999999,4,3,4,434,Loyal Customers
12562,France,21,2,1185.1799999999998,3,2,3,323,Potential
12563,Italy,44,1,249.24,3,1,1,311,Potential
12567,France,3,7,4308.58,4,4,4,444,Champions
12568,Germany,280,1,70.0,1,1,1,111,Lost
12570,Spain,318,1,77.52,1,1,1,111,Lost
12573,France,17,4,556.87,4,3,2,432,Loyal Customers
12575,France,93,2,622.8199999999999,2,2,2,222,Lost
12576,Poland,28,3,826.89,3,3,3,333,Loyal Customers
12577,France,17,5,995.95,4,3,3,433,Loyal Customers
12578,Italy,21,2,1847.9400000000005,3,2,4,324,Potential
12580,Germany,212,1,637.2,1,1,2,112,Lost
12582,Finland,58,2,1469.04,2,2,3,223,Lost
